x,y,z,qx,qy,qz,qw,timestamp
-416.9169995478778,-34.80027395813747,43.227120969734415,-0.6525987556127176,-0.04681763879353603,0.004499014071696343,0.7562425085532506,4931.0
-417.0962294011874,-35.99745711082792,42.87248584045855,-0.6527303179687133,-0.04690342960578525,0.00449653149354646,0.7561236549005759,4981.0
-417.3801671240954,-37.27252089823848,42.46261142494351,-0.6529046786319825,-0.04725464466509483,0.004715993521009211,0.7559498915822086,5031.0
-417.89974783978187,-38.37068446800124,42.113788502682716,-0.6531285657007957,-0.047873977647210436,0.005300806776062039,0.7557136100252386,5082.0
-418.65603107666,-39.295088833645366,41.77871377174897,-0.6534218504528,-0.04811656451231283,0.0056333803472521735,0.7554422192307193,5132.0
-419.32926182374376,-40.10457587803438,41.327713543312605,-0.6537331390367754,-0.04809420348424247,0.005518680992015008,0.7551751284811017,5182.0
-420.0285631320261,-40.922514370200325,40.90766641558135,-0.6540498590754293,-0.047013015987064984,0.004540551005436677,0.7549754575930121,5232.0
-420.49746856363606,-41.70972390247837,40.5831585108204,-0.6542734660961201,-0.04512698128994172,0.0028853450722583435,0.7549049356747115,5282.0
-420.5718714011807,-42.41166953919786,40.368634737856176,-0.6543488091838393,-0.04333777090058203,0.0012692928130530476,0.7549489137874262,5333.0
-420.5078866935734,-42.93517398490018,40.34123670380296,-0.6543281802897363,-0.042688024430419046,0.0007836174627137411,0.7550044708428041,5384.0
-420.39087550975137,-43.33891035971918,40.262399323097995,-0.6543082143727627,-0.04310147485173264,0.0010974478640184686,0.7549978934262783,5434.0
-420.1879462173458,-43.74869278910791,40.012125235825756,-0.6543167270365562,-0.043632273419402526,0.0012533042710489279,0.7549597834751381,5484.0
-420.0781915135886,-44.29773846975741,39.776608135646704,-0.6543437268000472,-0.04419522213077929,0.0015314982348599336,0.7549031222954327,5536.0
-419.996573667154,-44.79601368366523,39.58763952994793,-0.6543657269990641,-0.044684046024282206,0.001805328568081033,0.7548546695547742,5587.0
-419.8262129083084,-45.23540686928023,39.37422806442697,-0.6543708496694428,-0.04519853854381309,0.0020163000585625853,0.754819062922015,5637.0
-419.6830978886935,-45.622369501047984,39.21819345440697,-0.6543676191473197,-0.04563388678792025,0.002231847689451824,0.754795062413624,5686.0
-419.5548757144049,-46.06698033173869,39.0995888469462,-0.654355677734321,-0.04608485956305449,0.002530660692859456,0.7547770720499986,5737.0
-419.46778827656425,-46.416128364260565,39.05169697049787,-0.6543366640817568,-0.046411679707596874,0.002807657779322685,0.7547725505626657,5786.0
-419.23811366037984,-46.78973599706913,38.889829104211294,-0.6543103711275632,-0.046895370710578074,0.0030187035793348394,0.7547646321003176,5835.0
-418.9279586719065,-47.241716994907854,38.664623382665965,-0.6542774709154691,-0.04751509474777638,0.0032501301860420467,0.7547534322395235,5886.0
-418.4526070862096,-47.8771320064518,38.376404488321526,-0.6542135274149474,-0.04839740793921965,0.0036075746974746315,0.754751175459077,5936.0
-418.1567474202029,-48.61360050583359,38.246331452760465,-0.6541483259197619,-0.04916697493334211,0.004179584064783558,0.7547549982274531,5987.0
-417.97753845660077,-49.32316891003605,38.146863191849675,-0.6541077224548056,-0.04982745906087474,0.004739806544428701,0.7547435630612858,6037.0
-417.5498099136998,-49.93049895962333,37.66203844606697,-0.6541120382277705,-0.050745373566624966,0.004882027267514209,0.7546777552815868,6090.0
